strategy,capital,final,tot_ret,mdd,calmar,avg_cash_pct,avg_zero_alloc,avg_held,fee
TRD_K10_ADV20M,200000,398966.7428000003,99.48337140000014,-22.97934573386396,4.329251692026833,0.18587357132001536,0.0,10.0,3721.8572000000004
ADAPT_K10_ADV20M,10000,14124.449400000009,41.244494000000074,-18.576860134405234,2.220208027707185,4.725408093258466,0.1111111111111111,9.88888888888889,200.4506
ADAPT_K10_ADV20M,20000,28361.299100000026,41.80649550000013,-18.887601753125853,2.2134358848963585,2.8030375386567155,0.1111111111111111,9.88888888888889,410.6009
ADAPT_K10_ADV20M,30000,42530.72120000003,41.76907066666678,-19.11570252959067,2.18506594785147,2.14337604582534,0.1111111111111111,9.88888888888889,620.3788
ADAPT_K10_ADV20M,50000,70972.08840000007,41.944176800000136,-19.17921407367927,2.186960145440085,1.748776535699133,0.1111111111111111,9.88888888888889,1039.3115999999998
ADAPT_K10_ADV20M,100000,142028.37040000007,42.02837040000007,-19.265766309089983,2.181505252670392,0.4971180391483977,0.0,10.0,2110.1295999999998
ADAPT_K10_ADV20M,200000,284271.24060000037,42.13562030000018,-19.304226246521306,2.1827147984029236,0.34246490291835463,0.0,10.0,4228.959400000001
TRD_K20_ADV20M,10000,19526.374500000005,95.26374500000006,-19.520129042806776,4.880282542758344,16.883367732244956,1.6666666666666667,18.333333333333332,135.3255
TRD_K20_ADV20M,20000,40381.70450000003,101.90852250000013,-20.06119905534801,5.079881926241736,7.746569062453907,0.0,20.0,301.29549999999995
TRD_K20_ADV20M,30000,60976.583800000044,103.25527933333349,-20.632479841661045,5.004501646226777,4.848364567474446,0.0,20.0,468.9162
TRD_K20_ADV20M,50000,102701.81810000008,105.40363620000015,-20.812891216131835,5.064343781237995,2.5374355112116347,0.0,20.0,804.5819000000001
TRD_K20_ADV20M,100000,206535.83500000008,106.53583500000008,-20.88678542373847,5.100633383197342,1.4371137265669598,0.0,20.0,1629.2649999999999
TRD_K20_ADV20M,200000,414737.2996000002,107.36864980000011,-20.999830849210348,5.112834030472082,0.5716389564958054,0.0,20.0,3293.5004
ADAPT_K20_ADV20M,10000,15837.914200000007,58.37914200000007,-14.130480019035547,4.131433746154127,7.223680321669499,0.1111111111111111,19.88888888888889,182.7858
ADAPT_K20_ADV20M,20000,32124.961600000017,60.62480800000007,-14.52648398110347,4.173398606219015,3.9849293390683886,0.1111111111111111,19.88888888888889,382.9384000000001
ADAPT_K20_ADV20M,30000,48424.85620000004,61.41618733333347,-14.679814371356423,4.183716890396794,2.887045261455347,0.1111111111111111,19.88888888888889,582.1438
ADAPT_K20_ADV20M,50000,80981.64100000009,61.963282000000184,-14.790709083071876,4.189338161678659,1.9806516940523804,0.1111111111111111,19.88888888888889,981.559
ADAPT_K20_ADV20M,100000,162515.07730000012,62.51507730000012,-14.869116724841975,4.204357155630878,1.1880660709286555,0.1111111111111111,19.88888888888889,1983.7226999999998
ADAPT_K20_ADV20M,200000,325502.07400000014,62.75103700000007,-14.899311545495511,4.21167359366826,0.37209641846118713,0.0,20.0,4009.8260000000005
TRD_K30_ADV20M,10000,18055.679699999997,80.55679699999997,-18.117316095602725,4.446397941886768,21.015455427168508,2.5555555555555554,27.444444444444443,108.22030000000001
TRD_K30_ADV20M,20000,39272.16210000004,96.36081050000018,-19.236040571764942,5.009389023718351,7.70642544725173,0.0,30.0,265.0379
TRD_K30_ADV20M,30000,60076.69360000002,100.25564533333342,-19.684298213298216,5.0931785449990405,6.3966826079946895,0.0,30.0,402.90639999999996
TRD_K30_ADV20M,50000,101181.24830000002,102.36249660000003,-19.84257922337481,5.158729389343484,3.868770185808657,0.0,30.0,688.9516999999998
TRD_K30_ADV20M,100000,204261.2722,104.2612722,-20.07110688653527,5.194595036008892,1.9399363365398878,0.0,30.0,1417.4278000000002
TRD_K30_ADV20M,200000,410635.5316000002,105.3177658000001,-20.226394604551906,5.2069470540389124,0.7483482407458544,0.0,30.0,2874.4683999999997
ADAPT_K30_ADV20M,10000,15902.291200000007,59.02291200000007,-12.37202239272401,4.770676137371968,12.486894973911372,0.7777777777777778,29.22222222222222,167.1088
ADAPT_K30_ADV20M,20000,32707.539200000017,63.537696000000075,-13.206251380482717,4.811183292626195,5.5873968469045066,0.1111111111111111,29.88888888888889,369.5607999999999
ADAPT_K30_ADV20M,30000,49527.416000000005,65.09138666666668,-13.234868000281566,4.918174224728338,3.918696001543578,0.1111111111111111,29.88888888888889,568.684
ADAPT_K30_ADV20M,50000,82802.73950000008,65.60547900000017,-13.44226113187324,4.880538947754972,2.763726542387329,0.1111111111111111,29.88888888888889,960.8604999999999
ADAPT_K30_ADV20M,100000,166584.0706000002,66.5840706000002,-13.527945030334603,4.921964899376391,1.3850932938824232,0.1111111111111111,29.88888888888889,1956.3294
ADAPT_K30_ADV20M,200000,333960.2093000001,66.98010465000006,-13.58847432784476,4.9291850603675265,0.8024657181635955,0.1111111111111111,29.88888888888889,3942.6907
MARKET_ADV50M,10000,13648.231800000005,36.482318000000056,-9.738951336197834,3.7460211824246623,49.557419985663394,46.55555555555556,48.22222222222222,39.86820000000001
MARKET_ADV50M,20000,30020.40590000002,50.102029500000086,-11.267338980427331,4.446660350508057,26.809260631739523,12.0,82.77777777777777,96.7941
MARKET_ADV50M,30000,47760.496399999996,59.20165466666665,-12.113459510260332,4.887262356102458,17.620380676002746,6.0,88.77777777777777,161.90360000000004
MARKET_ADV50M,50000,83009.04050000005,66.01808100000008,-12.176516597909249,5.421754281625635,11.44642129104448,4.0,90.77777777777777,283.95949999999993
MARKET_ADV50M,100000,172136.88590000008,72.1368859000001,-12.688398202794218,5.685263399450549,5.6142960425088,1.1111111111111112,93.66666666666667,593.7141000000001
MARKET_ADV50M,200000,348651.8827000001,74.32594135000004,-12.825602090621688,5.795122975501362,2.6417468267160094,0.0,94.77777777777777,1203.4173
TRD_K10_ADV50M,10000,19757.367500000008,97.57367500000007,-21.120637758097484,4.619826168013847,8.264313955812886,0.0,10.0,155.63250000000002
TRD_K10_ADV50M,20000,40487.11710000002,102.43558550000009,-21.315616125775204,4.805659141897064,3.4437224654412293,0.0,10.0,332.9829
TRD_K10_ADV50M,30000,60675.15730000003,102.25052433333342,-21.546424564338167,4.7455912709791255,2.021386730501042,0.0,10.0,508.4427
